Time,Open,High,Low,Close,,,,,,,,
1766337540000000,88488.91,88494.97,88460.01,88488.38,,,,,,,,
1766337600000000,88488.38,88488.39,88426.02,88426.03,,,,,,,,
1766337660000000,88426.03,88453.13,88426.02,88430.56,,,,,,,,
1766337720000000,88430.56,88471.04,88430.55,88453.91,,,,,,,,
1766337780000000,88453.92,88453.92,88421.99,88421.99,,,,,,,,
1766337840000000,88422,88433.39,88421.99,88433.38,,,,,,,,
1766337900000000,88433.39,88433.39,88419.99,88420.01,,,,,,,,
1766337960000000,88420.01,88420.01,88289.5,88304.03,,,,,,,,
1766338020000000,88304.03,88326.53,88280.67,88297.15,,,,,,,,
1766338080000000,88297.16,88310.09,88297,88304.66,,,,,,,,
1766338140000000,88304.66,88307.64,88304.66,88307.64,,,,,,,,
1766338200000000,88307.64,88318.23,88307.63,88318.23,,,,,,,,
1766338260000000,88318.23,88336.8,88299.67,88299.67,,,,,,,,
1766338320000000,88299.67,88328.88,88299.67,88328.87,,,,,,,,
1766338380000000,88328.88,88369.8,88328.88,88349.42,,,,,,,,
1766338440000000,88349.42,88355.8,88322.92,88347.03,,,,,,,,
1766338500000000,88347.02,88355.8,88333.58,88333.59,,,,,,,,
1766338560000000,88333.59,88333.59,88320,88320.01,,,,,,,,
1766338620000000,88320.01,88320.01,88298.54,88320.01,,,,,,,,
1766338680000000,88320.01,88365.3,88320.01,88365.29,,,,,,,,
1766338740000000,88365.28,88365.29,88345,88360.11,,,,,,,,
1766338800000000,88360.11,88375.08,88360.11,88375.08,,,,,,,,
1766338860000000,88375.08,88375.08,88375.07,88375.07,,,,,,,,
1766338920000000,88375.08,88391.96,88375.07,88391.95,,,,,,,,
1766338980000000,88391.96,88391.96,88391.95,88391.95,,,,,,,,
1766339040000000,88391.96,88391.96,88391.95,88391.96,,,,,,,,
1766339100000000,88391.96,88391.96,88391.95,88391.96,,,,,,,,
1766339160000000,88391.96,88391.96,88368.91,88368.92,,,,,,,,
1766339220000000,88368.92,88409.82,88368.91,88395.44,,,,,,,,
1766339280000000,88395.44,88395.45,88391.61,88391.61,,,,,,,,
1766339340000000,88391.62,88391.62,88360.08,88360.08,,,,,,,,
1766339400000000,88360.09,88360.09,88360.08,88360.09,,,,,,,,
1766339460000000,88360.08,88364.99,88330.44,88351.37,,,,,,,,
1766339520000000,88351.38,88351.38,88289.3,88333.48,,,,,,,,
1766339580000000,88333.49,88333.49,88333.48,88333.48,,,,,,,,
1766339640000000,88333.49,88333.49,88312.81,88312.82,,,,,,,,
1766339700000000,88312.81,88324.15,88312.81,88324.15,,,,,,,,
1766339760000000,88324.15,88324.15,88324.14,88324.15,,,,,,,,
1766339820000000,88324.14,88324.15,88324.14,88324.15,,,,,,,,
1766339880000000,88324.14,88324.15,88324.14,88324.14,,,,,,,,
1766339940000000,88324.15,88324.15,88324.14,88324.14,,,,,,,,
1766340000000000,88324.14,88324.14,88304.85,88309.7,,,,,,,,
1766340060000000,88309.69,88309.7,88258,88258.01,,,,,,,,
1766340120000000,88258.01,88262.01,88253.88,88253.89,,,,,,,,
1766340180000000,88253.89,88253.89,88177,88177.01,,,,,,,,
1766340240000000,88177.01,88217.23,88177.01,88212.87,,,,,,,,
1766340300000000,88212.88,88212.88,88161.31,88175.42,,,,,,,,
1766340360000000,88175.42,88175.42,88115.84,88129.18,,,,,,,,
1766340420000000,88129.19,88129.19,88030.46,88058.99,,,,,,,,
1766340480000000,88059,88100,88058.99,88099.99,,,,,,,,
1766340540000000,88100,88100.01,88074.17,88090.1,,,,,,,,
1766340600000000,88090.09,88090.1,88000,88000,,,,,,,,
1766340660000000,88000,88090,87999.98,88090,,,,,,,,
1766340720000000,88089.99,88089.99,87950,87960.39,,,,,,,,
1766340780000000,87960.39,87988.79,87960.39,87970.8,,,,,,,,
1766340840000000,87970.8,87986.62,87970.8,87986.61,,,,,,,,
1766340900000000,87986.61,88007.08,87964.82,88007.08,,,,,,,,
1766340960000000,88007.07,88045.84,88004.17,88045.83,,,,,,,,
1766341020000000,88045.83,88066.56,88045.83,88056.57,,,,,,,,
1766341080000000,88056.57,88105.79,88056.57,88105.79,,,,,,,,
1766341140000000,88105.78,88105.78,88080,88080.01,,,,,,,,
1766341200000000,88080.01,88090.84,88080,88083.27,,,,,,,,
1766341260000000,88083.26,88083.26,88033.56,88047.44,,,,,,,,
1766341320000000,88047.43,88056.79,88047.43,88056.78,,,,,,,,
1766341380000000,88056.78,88056.79,88056.78,88056.78,,,,,,,,
1766341440000000,88056.78,88056.79,88034.63,88034.64,,,,,,,,
1766341500000000,88034.63,88063.87,88021.67,88063.86,,,,,,,,
1766341560000000,88063.87,88063.87,88051.42,88053.44,,,,,,,,
1766341620000000,88053.44,88065.95,88053.44,88055.76,,,,,,,,
1766341680000000,88055.76,88123.67,88055.75,88123.66,,,,,,,,
1766341740000000,88123.67,88126.26,88117.49,88126.25,,,,,,,,
1766341800000000,88126.25,88149.25,88113.87,88149.24,,,,,,,,
1766341860000000,88149.25,88182.68,88129.6,88182.68,,,,,,,,
1766341920000000,88182.67,88233.25,88169.87,88201.47,,,,,,,,
1766341980000000,88201.46,88235.56,88201.46,88235.56,,,,,,,,
1766342040000000,88235.55,88235.56,88210.26,88210.27,,,,,,,,
1766342100000000,88210.27,88210.27,88201.43,88201.44,,,,,,,,
1766342160000000,88201.43,88299.69,88201.43,88299.69,,,,,,,,
1766342220000000,88299.68,88299.69,88251.5,88251.51,,,,,,,,
1766342280000000,88251.5,88290.68,88251.5,88290.68,,,,,,,,
1766342340000000,88290.67,88290.67,88266.93,88272.83,,,,,,,,
